Line Item,2025,2024,2022,2018,Category,Confidence
As of December,31.0,2018.0,0.0,0.0,Other,0.4
s theatre screens and attendees through February,2037.0,0.0,0.0,0.0,Other,0.4
million for the years ended December,31.0,2018.0,0.0,0.0,Other,0.4
million during the year ended December,31.0,2018.0,0.0,0.0,Other,0.4
There were no intangible asset impairment charges incurred during the years ended December,31.0,2018.0,0.0,0.0,Other,0.4
and December,31.0,2016.0,0.0,0.0,Other,0.4
The Company evaluates the classification of its leases following the guidance in ASC,840.0,10.0,25.0,0.0,Other,0.4
million during the year ended December,31.0,2018.0,0.0,0.0,Other,0.4
The Company accounts for the sale and leaseback of real estate assets in accordance with ASC,840.0,40.0,0.0,0.0,Other,0.4
million as of December,31.0,2018.0,0.0,0.0,Other,0.4
The Company accounts for income taxes in accordance with ASC,740.0,10.0,0.0,0.0,Income Taxes,0.7
million for the years ended December,31.0,2018.0,0.0,0.0,Other,0.4
